-idInter,lotEtape,lotTraiteApres,resTypeIsoMur,apres_resTypeIsoMur,resTypeProd,apres_resTypeProd,resEmetteurChauffage,apres_resEmetteurChauffage,-niveau,-risque,-solution,-numFicheAdeme
1,mur,chauffage,iti,*,*,appareilIndepBois,*,*,risqNiv3,Isolation des murs par l'intérieur / Installation d'un poêle à bois ,L'ordonnancement des travaux présente des risques. ,44
2,mur,chauffage,iti,*,*,radiateurElec,*,*,risqNiv2,Isolation des murs par l'intérieur / Remplacement des radiateurs électriques,L'ordonnancement des travaux présente des risques. ,45
3,mur,chauffage,ite,*,*,appareilIndepBois,*,*,risqNiv3,Isolation des murs par l'extérieur / Installation d'un poêle à bois ,L'ordonnancement des travaux présente des risques. ,51
4,mur,chauffage,iti,*,*,"pacDoubleSrv,pacAirEau,pacAirEauEcsEnr,pacAbsorbGazEcsEnr,chaudiereBiomasse,chaudiereGazCondensationNs90Col,chaudiereGazCondensationNs90Ind",*,*,risqNiv3,Isolation des murs par l'intérieur / Remplacement du système de chauffage à eau chaude,L'ordonnancement des travaux présente des risques. ,43
5,chauffage,mur,*,iti,"pacDoubleSrv,pacAirEau,pacAirEauEcsEnr,pacAbsorbGazEcsEnr,pacAirAir",*,*,*,risqNiv3,Mise en place d'une pompe à chaleur / Isolation des murs par l'intérieur ,L'ordonnancement des travaux présente des risques. Les systèmes de chauffage doivent être remplacés en fin de parcours. ,46
6,chauffage,mur,*,iti,appareilIndepBois,*,*,*,risqNiv2,Installation d’un pôele à bois / Isolation des murs par l'intérieur,L'ordonnancement des travaux présente des risques. Les systèmes de chauffage doivent être remplacés en fin de parcours. ,47
7,chauffage,mur,*,iti,*,*,"radiateurBT,emetMurauxExist,radiateurElec",*,risqNiv2,Emetteur mural et réseaux  / Isolation des murs par l'intérieur,"L'ordonnancement des travaux présente des risques. Les systèmes de chauffage doivent être remplacés en fin de parcours. Prévoir un décalage des émetteurs de la paroi extérieure afin de mettre en œuvre la future isolation. Source : P2E. 2020. « Guide technique ». <a href=""https://www.experience-p2e.org/ressources/guide-technique-p2e/"" target=_blank> Exp. P2E.</a>",
8,chauffage,mur,*,ite,appareilIndepBois,*,*,*,risqNiv2,Installation d'un pôele à bois / Isolation des murs par l'extérieur,L'ordonnancement des travaux présente des risques. Les systèmes de chauffage doivent être remplacés en fin de parcours. ,52
9,chauffage,mur,*,ite,"pacDoubleSrv,pacAirEau,pacAirEauEcsEnr,pacAbsorbGazEcsEnr,pacAirAir",*,*,*,risqNiv3,Mise en place d'une pompe à chaleur / Isolation des murs par l'extérieur,L'ordonnancement des travaux présente des risques. Les systèmes de chauffage doivent être remplacés en fin de parcours. ,50
10,chauffage,mur,*,ite,"chaudiereBiomasse,chaudiereGazCondensationNs90Col,chaudiereGazCondensationNs90Ind",*,*,*,risqNiv3,Remplacement de la chaudière / Isolation des murs par l'extérieur,L'ordonnancement des travaux présente des risques. Les systèmes de chauffage doivent être remplacés en fin de parcours. ,49
11,chauffage,mur,*,iti,radiateurElec,*,*,*,risqNiv2,Remplacement des radiateurs électriques / Isolation des murs par l'intérieur ,L'ordonnancement des travaux présente des risques. ,48
12,chauffage,mur,*,iti,"chaudiereBiomasse,chaudiereGazCondensationNs90Col,chaudiereGazCondensationNs90Ind",*,*,*,risqNiv3,Remplacement de la chaudière / Isolation des murs par l'intérieur,L'ordonnancement des travaux présente des risques. Les systèmes de chauffage doivent être remplacés en fin de parcours. ,46
13,chauffage,mur,*,*,radiateurElec,*,*,*,risqNiv3,Remplacement des radiateurs électriques / autre action de rénovation ,L'ordonnancement des travaux présente des risques. ,71
14,"mur,chauffage",*,iti,*,*,*,*,*,,Pont thermique intégré,"Si des réseaux existants sont présents, vérifiez que l’entreprise prévoie un dévoiement de ceux-ci pour ne pas réduire l'épaisseur de l'isolation à ces endroits.",
15,"mur,chauffage",*,*,*,"pacAirEau,pacAirEauEcsEnr,appareilIndepBois,chaudiereGazCondensationNs90Col,chaudiereGazCondensationNs90Ind",*,*,*,,Etanchéité à l'air,"Vérifiez que l'entreprise prévoie d'inclure des dispositifs d'étanchéité à l'air au niveau des pénétrations de réseaux (conduits concentriques, à liaison frigorifique) avec des dispositifs adaptés (œillet, ruban adhésif, mastic, …).",
16,"mur,chauffage",*,iti,*,appareilIndepBois,*,*,*,,Sécurité incendie,Le parement et l'isolant proposés dans le devis doivent répondre aux exigences de sécurité incendie. ,
