-idSol,strucMur,typeIsoMur,>=perfMurInit_cVal,-resTypeIsoMur,-resCaracIsoMur,-resRevetExtMur,-resRecomMur
1,*,*,"4,4",nonPrioritaire,,,
2,beton,iti,*,"iti,fvp,hygro,fortSd",isoPermea,#initial,"deposeDoublage,doublageColleProscrit,isoLimitPontIti"
3,beton,iti,*,ite,#toutType,ouvertVapeur,"possibConservIti,permeaNonAssuree,resExt2xSupInt,isoLimitPontIte"
4,beton,ite,*,"iti,fvp,hygro,fortSd",isoPermea,#initial,"deposeDoublage,doublageColleProscrit,isoLimitPontIti"
5,beton,ite,*,ite,#toutType,ouvertVapeur,"possibConservIti,permeaNonAssuree,isoLimitPontIte"
6,beton,"non,repartie",*,"iti,fvp,hygro,fortSd",isoPermea,#initial,"doublageColleProscrit,isoLimitPontIti"
7,beton,"non,repartie",*,ite,#toutType,ouvertVapeur,"permeaNonAssuree,isoLimitPontIte"
8,"betonCreux,betonCreuxIsol,briqueCreux,briqueIsol,betonCellulaire,betonMachefer",iti,*,"iti,fvp,hygro",isoPermea,#initial,"deposeDoublage,doublageColleProscrit,isoLimitPontIti"
9,"betonCreux,betonCreuxIsol,briqueCreux,briqueIsol,betonCellulaire,betonMachefer",iti,*,ite,#toutType,ouvertVapeur,"possibConservIti,piquetage,permeaNonAssuree,resExt2xSupInt,isoLimitPontIte"
10,"betonCreux,betonCreuxIsol,briqueCreux,briqueIsol,betonCellulaire,betonMachefer",ite,*,"iti,fvp,hygro",isoPermea,#initial,"doublageColleProscrit,isoLimitPontIti"
11,"betonCreux,betonCreuxIsol,briqueCreux,briqueIsol,betonCellulaire,betonMachefer",ite,*,ite,#toutType,ouvertVapeur,"deposeIte,permeaNonAssuree,isoLimitPontIte"
12,"betonCreux,betonCreuxIsol,briqueCreux,briqueIsol,betonCellulaire,betonMachefer","non,repartie",*,"iti,fvp,hygro",isoPermea,#initial,"doublageColleProscrit,isoLimitPontIti"
13,"betonCreux,betonCreuxIsol,briqueCreux,briqueIsol,betonCellulaire,betonMachefer","non,repartie",*,ite,#toutType,ouvertVapeur,"deposeIte,piquetage,permeaNonAssuree,isoLimitPontIte"
14,"bois,ossatureBois,metal,terreCrue",*,*,expertise,,,
15,piere,"ite,iti",*,"iti,fvp",isoPermeaParfoisCapillaire,nuOuChaux,"deposeDoublage,doublageColleProscrit,adapterFctPierre,expert,isoLimitPontIti"
16,piere,"ite,iti",*,ite,isoPermeaParfoisFibreux,expert,"deposeDoublage,doublageColleProscrit,adapterFctPierre,permeaNonAssuree,expert,isoLimitPontIte"
17,piere,"non,repartie",*,"iti,fvp",isoPermeaParfoisCapillaire,nuOuChaux,"doublageColleProscrit,adapterFctPierre,expert,isoLimitPontIti"
18,piere,"non,repartie",*,ite,isoPermeaParfoisFibreux,expert,"doublageColleProscrit,adapterFctPierre,permeaNonAssuree,expert,isoLimitPontIte"
19,brique,"ite,iti",*,"iti,fvp,hygro",isoPermeaPreferenceCapillaire,sans,"deposeDoublage,traitementHydrofuge,expert,isoLimitPontIti"
20,brique,"ite,iti",*,ite,isoPermea,sans,"deposeDoublage,permeaNonAssuree,expert,isoLimitPontIte"
21,brique,"non,repartie",*,"iti,fvp,hygro",isoPermeaPreferenceCapillaire,sans,"traitementHydrofuge,expert,isoLimitPontIti"
22,brique,"non,repartie",*,ite,isoPermea,sans,"permeaNonAssuree,expert,isoLimitPontIte"
23,panBois,"ite,iti",*,"iti,fvp,hygro",isoPermea,chaux,"deposeDoublage,doublageColleProscrit,expert,isoLimitPontIti"
24,panBois,"ite,iti",*,ite,isoPermeaFibreux,expert,"deposeDoublage,permeaNonAssuree,expert,isoLimitPontIte"
25,panBois,"non,repartie",*,"iti,fvp,hygro",isoPermea,chaux,"doublageColleProscrit,expert,isoLimitPontIti"
26,panBois,"non,repartie",*,ite,isoPermeaFibreux,expert,"permeaNonAssuree,expert,isoLimitPontIte"
27,*,*,*,nonTraite,,,
