-idSol,typeBat,chauffageDependantVentilation,typeVentilation,-resTypeVentilation,-resRecomVentilation,-commentaire
1,LC,gazVmc,*,gazAuto,controleVmc,
2,LC,gazVmc,*,gazHygroA,controleVmc,
3,LC,gazVmc,*,gazHygroB,controleVmc,
4,LC,"boisNonEtanche,gazTirageNaturel",*,hygroA,"pElecInf0_1,controleVmc",
5,LC,"boisNonEtanche,gazTirageNaturel",*,auto,"pElecInf0_1,controleVmc",
6,LC,autre,"hygroA,hygroB,auto",doubleFlux,"nEchSup75,controleVmc",
7,LC,autre,"hygroA,hygroB,auto",hygroA,"pElecInf0_1,controleVmc",
8,LC,autre,"hygroA,hygroB,auto",hygroB,"pElecInf0_1,controleVmc",
9,LC,autre,doubleFlux,doubleFlux,"nEchSup75,controleVmc",
10,LC,autre,sans,bassePression,pElecInf0_12,
11,LC,autre,sans,doubleFlux,nEchSup75,
12,LC,autre,sans,hygroA,pElecInf0_1,
13,LC,autre,sans,hygroB,pElecInf0_1,
14,LC,autre,sans,repartie,"siVmcImposs,pSdbInf15,pCuisInf15,pSdbInf40grd",
15,LC,autre,sans,naturelleAssit,,
17,MI,"autre,gazVmc",*,auto,"classeB,controleVmc",
18,MI,"autre,gazVmc",*,repartie,"pSdbInf15,pCuisInf15,pSdbInf40grd",
19,MI,"autre,gazVmc",*,doubleFlux,"classeA,nEchSup85,controleVmc",
20,MI,"autre,gazVmc",*,hygroB,"classeB,pElecInf15,controleVmc",
21,MI,"autre,gazVmc",*,hygroA,"classeB,pElecInf15,controleVmc",
22,MI,"boisNonEtanche,gazTirageNaturel",*,auto,"classeB,chaufEtanch,controleVmc",
23,MI,"boisNonEtanche,gazTirageNaturel",*,repartie,"siVmcImposs,pSdbInf15,pCuisInf15,pSdbInf40grd,chaufEtanch,controleVmc",
24,MI,"boisNonEtanche,gazTirageNaturel",*,doubleFlux,"classeA,nEchSup85,chaufEtanch,controleVmc",
25,MI,"boisNonEtanche,gazTirageNaturel",*,hygroA,"classeB,pElecInf15,chaufEtanch,controleVmc",
26,MI,"boisNonEtanche,gazTirageNaturel",*,hygroB,"classeB,pElecInf15,chaufEtanch,controleVmc",Rajouté mais alerte si changé avant le chauffage
27,*,*,*,nonTraite,,
