-idTypo,typoBat,-typeBat,-anneeConstr,-nbNiveau,-combleHabit,-surface,-mitoyen,-nbLogement,-formeBat,-orientationBat,-surfMur_aRevoir,-surfPlancherHaut_aRevoir,-surfPlancherBas_aRevoir,-description
1,maisRuralAv1948,MI,av1948,2,oui,115,isole,1,moyen,est,200,78,65,"Maison individuelle, isolée sur parcelle. Construction massive (grande majorité) en pierre moellon ou pierre de taille, en béton, en brique ou en pan de bois, sans revêtement extérieur ou avec enduit. Taux de vitrage moyen. Menuiseries bois simple vitrage. Toiture double pente, combles initialement non habitables (majoritairement). Sur terre-plein ou sur cave (le plus souvent). Sans isolation thermique."
2,maisBourgAv1948,MI,av1948,3,oui,144,2pignons,1,moyen,est,88,86,69,"Maison individuelle, alignée sur rue en bande ou mitoyenne à une autre maison (plus rare). Construction massive (grande majorité) en pierre moellon ou pierre de taille, en brique ou en pan de bois, majoritairement sans revêtement extérieur. Taux de vitrage faible à moyen. Menuiseries bois simple vitrage. Toiture double pente, combles initialement non habitables. Sur terre-plein ou sur cave. Sans isolation thermique."
3,pavBanlAv1948,MI,av1948,1,non,75,2pignons,1,moyen,est,51,75,75,"Maison individuelle, généralement mitoyen ""en bande"", parfois isolée. Construction massive (grande majorité) en meulière, moellon local, brique ou béton de mâchefer, majoritairement avec revêtement extérieur. Taux de vitrage faible à moyen. Menuiseries bois simple vitrage. Toiture double pente, combles initialement non habitables. Plancher bas sur cave (50%) ou dallage sur terre-plein. Sans isolation thermique."
4,pavBanlRecons1948_1974,MI,ap1949,2,non,79,1pignon,1,moyen,est,138,54,61,"Maison individuelle, alignée sur rue en bande ou mitoyenne à une autre maison, type pavillon de banlieue. Construction massive (grande majorité) en pierre moellon, en parpaing, en brique pleine ou creuse, généralement avec enduit. Taux de vitrage faible à moyen. Menuiseries bois simple vitrage. Toiture double pente, combles, toiture terrasse (rare). Sur terre-plein ou sur cave. Sans isolation thermique. Sur RdC non chauffé. Sans isolation thermique."
5,pav1968_1974,MI,ap1949,1,non,100,isole,1,moyen,est,106,100,100,"Maison individuelle, isolée sur parcelle, type pavillon. Construction massive (grande majorité) en parpaing, en brique pleine ou creuse, généralement avec enduit. Taux de vitrage moyen. Menuiseries bois ou PVC simple vitrage (rarement double vitrage). Toiture double pente ou à 4 pans, combles perdus (majoritairement), rarement toiture terrasse. Sur terre-plein, vide sanitaire ou sur cave. Sans isolation thermique (majoritairement) ou avec faible isolation sur façade et/ou toiture. Sur rez-de-chaussée non chauffé. Sans isolation thermique."
6,pav1975_1985,MI,ap1975,1,non,95,isole,1,moyen,est,91,95,95,"Maison individuelle, isolée sur parcelle, type pavillon. Construction massive (grande majorité) en brique creuse, Siporex ou béton cellulaire, généralement avec enduit. Taux de vitrage moyen. Menuiseries bois ou PVC double vitrage (simple vitrage de moins en moins). Toiture double pente ou à 4 pans, combles perdus (majoritairement), rarement toiture terrasse. Sur terre-plein, vide sanitaire ou sur cave. Avec isolation thermique selon RT 74."
7,haussmanAv1948,LC,av1948,5,oui,516,2pignons,10,moyen,est,666,130,95,"Grand immeuble collectif, en zones urbaines, en général aligné en formant un îlot. Construction massive en pierre moellon, en brique ou en béton, majoritairement sans revêtement extérieur. Taux de vitrage élevé. Menuiseries bois simple vitrage. Toiture terrasse, rarement mansardée. Sur cave. Sans isolation thermique."
8,immDeBougAv1948,LC,av1948,5,non,624,2pignons,20,moyen,est,652,158,150,"Petit immeuble collectif, aligné sur rue avec mitoyenneté ou isolé (plus souvent). Construction massive (grande majorité) en pierre moellon ou pierre de taille, en béton ou en brique, sans revêtement extérieur ou avec enduit. Taux de vitrage moyen. Menuiseries bois simple vitrage. Toiture double pente. Sur terre-plein ou sur cave (le plus souvent). Sans isolation thermique."
9,immBougeoisAv1948,LC,av1948,7,non,3204,2pignons,52,moyen,est,3048,485,510,"Grand immeuble collectif, en zones urbaines, en général aligné en formant un îlot. Construction massive en structure béton avec remplissage brique pleine ou creuse, majoritairement avec revêtement enduit ou plâtre. Taux de vitrage moyen. Menuiseries bois simple vitrage. Toiture terrasse ou combles aménagés. Sur sous-sol ou vide sanitaire. Sans isolation thermique."
10,petitColl1948_1974,LC,ap1949,7,non,947,isole,13,moyen,est,880,135,145,"Petit immeuble collectif, aligné sur rue avec mitoyenneté ou isolé (plus souvent). Construction massive (grande majorité) en poteau-dalle et maçonnerie de remplissage, en parpaing ou brique creuse, généralement avec enduit. Taux de vitrage moyen. Menuiseries bois simple vitrage. Toiture double pente ou à 4 pans (rare) ou toiture terrasse. Sur terre-plein ou sur cave (le plus souvent). Sans isolation thermique. sur RdC non chauffé. Sans isolation thermique."
11,barres1948_1974,LC,ap1949,5,non,10516,isole,128,moyen,est,8634,2337,2337,"Grand immeuble collectif, en zones urbaines, isolé ou en cité, en forme de barre. Construction massive en en béton banché ou avec panneau préfabriqué, avec ou sans enduit extérieur. Taux de vitrage élevé. Menuiseries bois ou aluminium simple vitrage. Toiture terrasse. Avec sous-sol (parking). Sans isolation thermique. sur rez-de-chaussée non chauffé. Sans isolation thermique."
12,barres1975_1981,LC,ap1975,10,non,11433,isole,188,moyen,est,7092,1621,1594,"Grand immeuble collectif, en zones urbaines, isolé ou en cité, en forme de barre. Construction massive en en béton banché, avec panneau sandwich préfabriqué, avec ou sans revêtement extérieur. Taux de vitrage élevé. Menuiseries bois, aluminium ou PVC double vitrage. Toiture terrasse. Avec sous-sol (parking). Avec isolation thermique selon RT 74."
13,echopeBordPleinPiedAv1948,MI,av1948,1,non,60,2pignons,1,moyen,est,52,60,60,"Ces échoppes simples sont des petites maisons en pierres de taille, réalisées avec les techniques de construction de l'époque. A l'origine pour loger les ouvriers, ce sont donc des maisons modestes d'un point de vue architectural et décoratif. Leur superficie moyenne est de 60m² et leur hauteur moyenne de faîtage est de 5,70 m."
14,echopeBordRP1_1948,MI,av1948,2,oui,120,2pignons,1,moyen,est,92,60,60,"Ces échoppes simples sont des petites maisons en pierres de taille, réalisées avec les techniques de construction de l'époque. A l'origine pour loger les ouvriers, ce sont donc des maisons modestes d'un point de vue architectural et décoratif. Leur superficie moyenne est de 60m² et leur hauteur moyenne de faîtage est de 5,70 m. Certaines échoppes ont déjà eu des rénovations partielles voir des extensions."
