-idTypo,typoBat,-perfMenuiserieInit,-perfMenuiserieFinal,-NonUtilise_TypeDePose,-protectionSolaireMenuiserie,-fenetreDeToit,-surfMenuiserie,-idSol,-numLot_NonUtilise,-etape
1,maisRuralAv1948,sup2_6,defaut,Applique intérieure,voletBattant,non,9,3,1,1
2,maisBourgAv1948,sup2_6,defaut,Applique intérieure,voletBattant,non,13,3,1,1
3,pavBanlAv1948,sup2_6,defaut,Applique intérieure,aucun,non,8,3,1,1
4,pavBanlRecons1948_1974,sup2_6,defaut,Applique intérieure,aucun,non,17,3,1,1
5,pav1968_1974,sup2_6,defaut,Applique intérieure,aucun,non,21,3,1,1
6,pav1975_1985,sup1_3,defaut,Applique intérieure,aucun,non,8,3,1,1
7,haussmanAv1948,sup2_6,defaut,Applique intérieure,voletBattant,non,60,3,1,1
8,immDeBougAv1948,sup2_6,defaut,Applique intérieure,aucun,non,89,3,1,1
9,immBougeoisAv1948,sup2_6,defaut,Applique intérieure,voletBattant,non,464,3,1,1
10,petitColl1948_1974,sup2_6,defaut,Applique intérieure,aucun,non,110,3,1,1
11,barres1948_1974,sup2_6,defaut,Applique intérieure,aucun,non,1169,3,1,1
12,barres1975_1981,sup2_6,defaut,Applique intérieure,aucun,non,1310,3,1,1
13,echopeBordPleinPiedAv1948,sup2_6,defaut,Applique intérieure,voletBattant,non,3,3,1,1
14,echopeBordRP1_1948,sup2_6,defaut,Applique intérieure,voletBattant,non,13,3,1,1
